line	action	verdict	reviewer	evidence	date	support	oppose	followons
gantt-legibility	killed	killed -- duplicate of surviving line gantt-legibility-patterns; keep record, consolidate findings there	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-08-28-gantt-legibility.md	2026-09-07
log-presentation-patterns	adopted	adopted -- Crystallized slice-first, contract-driven log presentation guidance is actionable and should shape logging and UI work now, with implementation validation as the next step.	model:unsloth:unsloth/Qwen3.8-27B-GGUF	/home/bricker/Projects/etc/hngh/docs/research/2026-08-28-log-presentation-patterns.md	2026-09-08
session-cost-display	killed	killed -- duplicate of survivor line session-cost-display-formats; findings should be reviewed under that record	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-08-28-session-cost-display.md	2026-09-08
tech-tree-research-ux	adopted	adopted -- Aligns with the current needs of `hngh` and `hngh-automation` for decision-making and automation execution.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-28-tech-tree-research-ux.md	2026-09-08
telemetry-schema-exemplars	adopted	adopted -- The findings highlight critical needs for a stable semantic contract and exemplar preservation, which are essential for effective observability in automation systems. These implications drive the necessity for a structured schema approach.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-28-telemetry-schema-exemplars.md	2026-09-08
wiki-viewer-qol	adopted	adopted -- The research findings provide a clear and actionable set of requirements for improving the user experience of the wiki viewer, which are directly applicable to the `hngh/hngh-automation` application.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-28-wiki-viewer-qol.md	2026-09-08
adversarial-review-patterns	adopted	adopted -- concrete dual-track cadence and State Clarity Standard are immediately actionable for live interface and agent-workflow surfaces.	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-08-28-adversarial-review-patterns.md	2026-09-08
logs-known-good-patterns	adopted	adopted -- The findings provide a clear and actionable framework for improving log organization, navigation, and presentation in `hngh/hngh-automation`, which are essential for effective automation operations, audit, and debugging.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-28-logs-known-good-patterns.md	2026-09-08
remote-access-patterns	adopted	adopted -- The findings provide a clear and structured approach to remote access that aligns with security best practices and should drive the work for `hngh/hngh-automation`.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-29-remote-access-patterns.md	2026-09-08
research-publishing-pipelines	adopted	adopted -- contracted implementation spec with concrete schema, templates, and routing logic ready to drive hngh-automation engineering now	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-08-29-research-publishing-pipelines.md	2026-09-08
unattended-session-budgets	adopted	adopted -- crystallized thesis is settled, directly actionable for hngh-automation (budget manifests, external enforcement, kill-path telemetry); only defect is a truncated F10 ending to repair as a doc fix.	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-08-29-unattended-session-budgets.md	2026-09-08
virtual-assistant-ux	adopted	adopted -- The findings provide clear, actionable guidelines for improving the UX of a virtual assistant in an automation context, which are directly relevant and valuable for `hngh/hngh-automation`.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-29-virtual-assistant-ux.md	2026-09-08
alert-to-work-routing-patterns-closing-the-self-observation-loop	adopted	adopted -- grounded design complete with open threads resolved; the alert-class→candidate-step table is the ready input for the existing "Alert → plan-candidate routing" backlog row.	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-08-30-alert-to-work-routing-patterns-closing-the-self-observation-loop.md	2026-09-08
ceremony-cost-reduction-batching-kernel-doc-landings-safely	adopted	adopted -- The findings provide a clear rationale for batching doc landings, which can significantly reduce the ceremony cost for small doc changes. The safety boundary is well-defined, and the recommendation to keep per-slice ceremonies for coupled changes is practical. This approach aligns with the existing repository mechanics and can improve the overall workflow efficiency.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-30-ceremony-cost-reduction-batching-kernel-doc-landings-safely.md	2026-09-08
delegation-lane-parallelism-multi-lane-omp-bridge-sessions-and-queueing	parked	parked -- The research findings indicate that the current `omp-bridge` delegation path is synchronous and single-threaded,	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-30-delegation-lane-parallelism-multi-lane-omp-bridge-sessions-and-queueing.md	2026-09-08
gantt-legibility-patterns	killed	killed -- line founded on a misread domain (hngh is a Lisp governance kernel, no build pipeline); all findings are unverified generic prior art with no applicable target.	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-08-30-gantt-legibility-patterns.md	2026-09-08
search-grounded-research-beats-web-search-reference-capture-source-quality	parked	parked -- Central issues with the repository path and contents need resolution before proceeding.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-30-search-grounded-research-beats-web-search-reference-capture-source-quality.md	2026-09-08
self-funding-paths-publications-ebook-site-operator-runway	killed	killed -- crystallization contains no verified findings, no defined metrics, and no actionable or preservable substance; the line was never substantively investigated and should be closed rather than carried.	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-08-31-self-funding-paths-publications-ebook-site-operator-runway.md	2026-09-08
session-cost-display-formats	adopted	adopted -- The findings provide a clear path forward for integrating cost display into the existing session identity rendering, and the recommendations align with the current codebase structure.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-31-session-cost-display-formats.md	2026-09-08
tech-tree-research-UX-precedents	parked	parked -- correction downgrades repo-specific claims to unverified generic prior art, so keep the record pending verification against the actual Common Lisp kernel.	model:unsloth:unsloth/Qwen3.8-27B-GGUF	/home/bricker/Projects/etc/hngh/docs/research/2026-08-31-tech-tree-research-UX-precedents.md	2026-09-08
unattended-plan-authoring-safety-operator-accepted-machine-drafted-plans	adopted	adopted -- This research line provides crucial insights into ensuring safety in unattended plan authoring, which is essential for the development and deployment of automated systems. The findings should drive immediate work to enhance operator acceptance and safety in machine-drafted plans.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-31-unattended-plan-authoring-safety-operator-accepted-machine-drafted-plans.md	2026-09-08
wiki-viewer-QoL-comparison	killed	killed -- The research line is formally closed as void due to inaccessible source code repositories, rendering it impossible to generate concrete findings. The findings and recommendations are not actionable without resolving the access constraint.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-08-31-wiki-viewer-QoL-comparison.md	2026-09-08
govbench-adapter-contract	killed	killed -- the crystallized record is an empty transcript fragment with zero findings; the research question must be re-run from scratch to produce anything actionable.	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-09-06-govbench-adapter-contract.md	2026-09-08
govbench-ci-evidence	parked	parked -- Need more context and data from actual repositories to proceed.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-09-06-govbench-ci-evidence.md	2026-09-08
govbench-metrics-v1	killed	killed -- crystallization contains no findings, only a raw tool-call fragment; the question, if still wanted, needs a fresh line.	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-09-07-govbench-metrics-v1.md	2026-09-08
govbench-scenario-corpus	parked	parked -- Needs further exploration and concrete file paths before adoption.	model:deck:deck-7b	/home/bricker/Projects/etc/hngh/docs/research/2026-09-07-govbench-scenario-corpus.md	2026-09-08
govbench-voting-prior-art	killed	killed -- crystallized document contains no findings, only an incomplete tool-call transcript; the line produced nothing actionable or worth parking.	model:kimi:k3-256k	/home/bricker/Projects/etc/hngh/docs/research/2026-09-07-govbench-voting-prior-art.md	2026-09-08
govbench-weak-validation-baseline	parked	parked -- Useful baseline ladder, but it is explicitly theoretical and lacks repository-specific verification needed to drive benchmark work now.	model:unsloth:unsloth/Qwen3.8-27B-GGUF	/home/bricker/Projects/etc/hngh/docs/research/2026-09-07-govbench-weak-validation-baseline.md	2026-09-08
